2487-phrase.npy: IDR: 95.41%     MR: 2.04%       FAR: 2.55%      IDA: 0.843 ms
2463-phrase.npy: IDR: 96.79%     MR: 0.40%       FAR: 2.81%      IDA: 0.336 ms
2492-phrase.npy: IDR: 99.32%     MR: 0.68%       FAR: 0.00%      IDA: 0.127 ms
2482-phrase.npy: IDR: 91.95%     MR: 3.81%       FAR: 4.24%      IDA: 1.203 ms
2521-phrase.npy: IDR: 100.00%    MR: 0.00%       FAR: 0.00%      IDA: 0.129 ms
2523-phrase.npy: IDR: 94.70%     MR: 0.76%       FAR: 4.55%      IDA: 0.098 ms
2526-phrase.npy: IDR: 84.08%     MR: 3.18%       FAR: 12.74%     IDA: 1.058 ms
2517-phrase.npy: IDR: 97.32%     MR: 2.30%       FAR: 0.38%      IDA: 0.127 ms
2572-phrase.npy: IDR: 86.96%     MR: 13.04%      FAR: 0.00%      IDA: 0.985 ms
2553-phrase.npy: IDR: 94.70%     MR: 2.27%       FAR: 3.03%      IDA: 0.807 ms
2546-phrase.npy: IDR: 85.31%     MR: 5.59%       FAR: 9.09%      IDA: 1.326 ms
2540-phrase.npy: IDR: 90.58%     MR: 2.24%       FAR: 7.17%      IDA: 1.172 ms
2545-phrase.npy: IDR: 99.49%     MR: 0.00%       FAR: 0.51%      IDA: 0.259 ms
2577-phrase.npy: IDR: 82.17%     MR: 6.98%       FAR: 10.85%     IDA: 1.141 ms
2603-phrase.npy: IDR: 89.58%     MR: 5.21%       FAR: 5.21%      IDA: 1.658 ms
2591-phrase.npy: IDR: 70.00%     MR: 7.27%       FAR: 22.73%     IDA: 2.420 ms
2589-phrase.npy: IDR: 70.71%     MR: 11.11%      FAR: 18.18%     IDA: 2.394 ms
2590-phrase.npy: IDR: 86.00%     MR: 6.00%       FAR: 8.00%      IDA: 1.734 ms
2604-phrase.npy: IDR: 91.00%     MR: 2.00%       FAR: 7.00%      IDA: 1.412 ms

identification_rate:0.8807 miss_rate:0.05323 false_alarm_rate:0.06605 identification_accuracy:0.001198
